DayOfWeek,IntervalPeriod,Weekend,BusinessHours,TotalDemand,RRP
3,8,no,no,6329.77,28.48
3,9,no,no,6511.67,34.12
3,10,no,no,6765.4,35.61
3,11,no,no,7357.79,42.69
3,12,no,no,7807.68,41.78
3,13,no,no,8216.86,46.37
3,14,no,no,8538.5,48.15
3,15,no,no,8769,38.45
3,16,no,yes,8927.45,37.49
3,17,no,yes,9147.61,39.4
3,18,no,yes,9231.9,38.15
3,19,no,yes,9316.8,39.36
3,20,no,yes,9432.31,41.96
3,21,no,yes,9394.99,38.11
3,22,no,yes,9500.27,39.14
3,23,no,yes,9535.79,38.45
3,24,no,yes,9637.26,39.58
3,25,no,yes,9720.39,42.24
3,26,no,yes,9743.8,46.13
3,27,no,yes,9839.41,41.96
3,28,no,yes,9894.63,42.3
3,29,no,yes,9945.17,41.96
3,30,no,yes,10126.47,41.96
3,31,no,yes,10242.68,41.96
3,32,no,yes,10295.2,42.56
3,33,no,yes,10232.76,49.16
3,34,no,yes,10147.65,43.92
3,35,no,yes,9775.6,37.65
3,36,no,yes,9553.92,33.73
3,37,no,no,9335.4,35.14
3,38,no,no,9186.9,36.55
3,39,no,no,9284.69,46.32
3,40,no,no,9074.17,35.95
3,41,no,no,8851.73,33.72
3,42,no,no,8500.52,32.09
3,43,no,no,8357.75,31.95
3,44,no,no,8058.25,30.68
3,45,no,no,8009.94,33.48
3,46,no,no,7805.87,33.31
3,47,no,no,7600.51,32.83
4,0,no,no,7399.48,32.96
4,1,no,no,7137.89,28.57
4,2,no,no,6898.81,27.7
4,3,no,no,6613.91,27.19
4,4,no,no,6368.07,27.96
4,5,no,no,6258.31,28.02
4,6,no,no,6221.72,27.99
4,7,no,no,6220,27.92
4,8,no,no,6320.55,27.96
4,9,no,no,6541.77,28.91
4,10,no,no,6827.51,28.16
4,11,no,no,7348.12,33.6
4,12,no,no,7798.69,33.52
4,13,no,no,8235.27,33.68
4,14,no,no,8666.47,41.94
4,15,no,no,8840.91,34.84
4,16,no,yes,8976.31,35.93
4,17,no,yes,9157.73,36.2
4,18,no,yes,9267.34,36.7
4,19,no,yes,9386.78,37.04
4,20,no,yes,9477.35,36.15
4,21,no,yes,9523.64,37.8
4,22,no,yes,9571.42,46.64
4,23,no,yes,9633.74,46.74
4,24,no,yes,9622.27,40.45
4,25,no,yes,9689.4,40.23
4,26,no,yes,9755.57,40.65
4,27,no,yes,9813.33,40.3
4,28,no,yes,9844.07,42.01
4,29,no,yes,9878.1,40.53
4,30,no,yes,10026.21,44.87
4,31,no,yes,10155.58,41.14
4,32,no,yes,10237.62,41.68
4,33,no,yes,10118.53,37.84
4,34,no,yes,9993.01,36.55
4,35,no,yes,9655.73,32.02
4,36,no,yes,9470.57,33.47
4,37,no,no,9178.77,33.21
4,38,no,no,9151.37,41.1
4,39,no,no,9109.1,47.46
4,40,no,no,9045.93,43.98
4,41,no,no,8792.92,32.71
4,42,no,no,8499.32,29.83
4,43,no,no,8344.13,30.82
4,44,no,no,8065.1,28.66
4,45,no,no,7872.63,31.1
4,46,no,no,7694.54,31.36
4,47,no,no,7452.2,31.73
5,0,no,no,7316.45,32.08
5,1,no,no,7131.24,29.66
5,2,no,no,6903.54,29.43
5,3,no,no,6607.43,28.42
5,4,no,no,6388.7,27.57
5,5,no,no,6256.16,28
5,6,no,no,6207.08,28.05
5,7,no,no,6229.31,28.04
5,8,no,no,6296.47,28.06
5,9,no,no,6578.65,31.49
5,10,no,no,6817.99,32.36
5,11,no,no,7355.41,40.74
5,12,no,no,7823.08,38.29
5,13,no,no,8249.69,37.03
5,14,no,no,8598.83,41.14
5,15,no,no,8825.45,38.04
5,16,no,yes,8930.42,37.96
5,17,no,yes,9159.91,38.09
5,18,no,yes,9277.07,38.04
5,19,no,yes,9336.64,37.86
5,20,no,yes,9435.89,39.36
5,21,no,yes,9456.38,36.55
5,22,no,yes,9505.06,44.12
5,23,no,yes,9564.14,44.5
5,24,no,yes,9587.53,51.83
5,25,no,yes,9637.33,44.33
5,26,no,yes,9693.77,50.3
5,27,no,yes,9730.6,51.15
5,28,no,yes,9612.61,41.77
5,29,no,yes,9622.74,42.07
5,30,no,yes,9696.5,45.26
5,31,no,yes,9739.22,41.91
5,32,no,yes,9715.29,40.58
5,33,no,yes,9600.68,43.55
5,34,no,yes,9607.35,46.68
5,35,no,yes,9411.28,40.33
5,36,no,yes,9286.92,35.63
5,37,no,no,9055.38,33.12
5,38,no,no,9026.92,36.91
5,39,no,no,9163.11,36.34
5,40,no,no,8939.16,34.84
5,41,no,no,8709.51,36.1
5,42,no,no,8400.86,32.64
5,43,no,no,8330.07,32.55
5,44,no,no,8083.67,30.2
5,45,no,no,7926.61,30.78
5,46,no,no,7696.8,31.61
5,47,no,no,7448.71,31.7
6,0,no,no,7300.75,30.5
6,1,no,no,7087.77,28.74
6,2,no,no,6842.8,28.39
6,3,no,no,6573.99,27.98
6,4,no,no,6353.54,27.93
6,5,no,no,6250.11,27.96
6,6,no,no,6186.59,28.01
6,7,no,no,6196.24,28.02
6,8,no,no,6304.68,28.8
6,9,no,no,6529.05,31.46
6,10,no,no,6816.22,37.33
6,11,no,no,7353.47,41.23
6,12,no,no,7807.3,39.47
6,13,no,no,8213.67,39.33
6,14,no,no,8645.54,38.25
6,15,no,no,8851.31,35.58
6,16,no,yes,9009.38,39.18
6,17,no,yes,9201.95,40.98
6,18,no,yes,9315.31,43.31
6,19,no,yes,9418.67,42.74
6,20,no,yes,9528.67,47.77
6,21,no,yes,9553.82,50.11
6,22,no,yes,9561.57,50.2
6,23,no,yes,9553.58,46.88
6,24,no,yes,9590.63,44.84
6,25,no,yes,9613.65,37.39
6,26,no,yes,9658.54,38.77
6,27,no,yes,9653.47,38.24
6,28,no,yes,9645.84,35.96
6,29,no,yes,9618.55,36.4
6,30,no,yes,9675.31,35.6
6,31,no,yes,9737.28,37.03
6,32,no,yes,9669.51,36.63
6,33,no,yes,9554.75,40.13
6,34,no,yes,9419.4,37.18
6,35,no,yes,9160.65,34.89
6,36,no,yes,8978.33,34.89
6,37,no,no,8808.78,35.59
6,38,no,no,8756.51,35.01
6,39,no,no,8838.07,35.37
6,40,no,no,8718.58,33.58
6,41,no,no,8551.42,32.77
6,42,no,no,8325.61,31.48
6,43,no,no,8311.17,31.27
6,44,no,no,8076.32,30.22
6,45,no,no,7992.35,31.18
6,46,no,no,7838.85,32.15
6,47,no,no,7630.69,32.18
7,0,yes,no,7382.85,29.32
7,1,yes,no,7172.45,29.31
7,2,yes,no,6921.99,28.05
7,3,yes,no,6602.61,26.29
7,4,yes,no,6357.25,20.78
7,5,yes,no,6146.98,18.99
7,6,yes,no,6137.33,19.58
7,7,yes,no,6083.84,18.71
7,8,yes,no,6089.63,18.7
7,9,yes,no,6191.91,18.96
7,10,yes,no,6209.1,18.65
7,11,yes,no,6429.72,21.73
7,12,yes,no,6610.06,18.96
7,13,yes,no,6860.3,21.41
7,14,yes,no,7227.25,27.09
7,15,yes,no,7618.91,28.36
7,16,yes,yes,7929.68,29.49
7,17,yes,yes,8165.88,32.76
7,18,yes,yes,8281.57,33.79
7,19,yes,yes,8358.89,33.38
7,20,yes,yes,8423.55,34.71
7,21,yes,yes,8471.54,37.41
7,22,yes,yes,8452.83,38.32
7,23,yes,yes,8391.37,34.75
7,24,yes,yes,8306.77,35.08
7,25,yes,yes,8281.32,33.79
7,26,yes,yes,8235.54,34.4
7,27,yes,yes,8235.56,34.32
7,28,yes,yes,8221.39,37.64
7,29,yes,yes,8219.01,39.51
7,30,yes,yes,8224.41,41.96
7,31,yes,yes,8221.37,35.07
7,32,yes,yes,8263.96,38.98
7,33,yes,yes,8238.98,42.25
7,34,yes,yes,8338.12,41.94
7,35,yes,yes,8288.73,39.51
7,36,yes,yes,8266.46,37.18
7,37,yes,no,8214.54,39.55
7,38,yes,no,8253.37,41.19
7,39,yes,no,8259.09,36.57
7,40,yes,no,8202.46,34.45
7,41,yes,no,8104.63,34.5
7,42,yes,no,7944.49,33.51
7,43,yes,no,7825.75,32.24
7,44,yes,no,7678.98,31.76
7,45,yes,no,7595.28,35.01
7,46,yes,no,7393.07,34.61
7,47,yes,no,7178.9,33.07
1,0,yes,no,7015.62,31.63
1,1,yes,no,6820.21,31.7
1,2,yes,no,6647.65,29.82
1,3,yes,no,6352.24,28.17
1,4,yes,no,6178.34,27.99
1,5,yes,no,6028.35,27.83
1,6,yes,no,5962.97,27.72
1,7,yes,no,5936.2,27.71
1,8,yes,no,5905.78,27.91
1,9,yes,no,6011.19,28.95
1,10,yes,no,6025.87,28.01
1,11,yes,no,6162.73,31.87
1,12,yes,no,6230.94,27.79
1,13,yes,no,6422.34,27.66
1,14,yes,no,6705.29,28.54
1,15,yes,no,7031.09,28
1,16,yes,yes,7325.1,28.38
1,17,yes,yes,7579.34,30.71
1,18,yes,yes,7802.62,32.47
1,19,yes,yes,7941.72,33.99
1,20,yes,yes,7953.87,33.19
1,21,yes,yes,8028.49,33.96
1,22,yes,yes,8060.75,36
1,23,yes,yes,8061.96,36.33
1,24,yes,yes,8081.35,36.3
1,25,yes,yes,8101.35,35.55
1,26,yes,yes,8060.05,37.64
1,27,yes,yes,8101.98,37.47
1,28,yes,yes,8166.2,37.36
1,29,yes,yes,8231.28,35.02
1,30,yes,yes,8299.1,34.94
1,31,yes,yes,8376.13,35.11
1,32,yes,yes,8480.76,37.02
1,33,yes,yes,8551.51,35.87
1,34,yes,yes,8700.4,38.72
1,35,yes,yes,8668.08,39.49
1,36,yes,yes,8638.45,36.4
1,37,yes,no,8539.01,38.6
1,38,yes,no,8470.2,37.06
1,39,yes,no,8589.89,38.9
1,40,yes,no,8467.54,34.96
1,41,yes,no,8253.76,34.89
1,42,yes,no,8035.68,34.12
1,43,yes,no,7783.51,33.14
1,44,yes,no,7627.07,30.18
1,45,yes,no,7505.04,30.67
1,46,yes,no,7276.05,27.99
1,47,yes,no,7024.36,27.82
2,0,no,no,6878.95,19.95
2,1,no,no,6735.62,27.87
2,2,no,no,6579.77,28.04
2,3,no,no,6386.6,19
2,4,no,no,6210.79,18.96
2,5,no,no,6160.29,17.91
2,6,no,no,6106,19.08
2,7,no,no,6113.01,18.15
2,8,no,no,6172.74,18.96
2,9,no,no,6420.92,19.17
2,10,no,no,6684.9,26.57
2,11,no,no,7324.44,33.77
2,12,no,no,7856.56,29.52
2,13,no,no,8349.48,33.27
2,14,no,no,8754.86,36.58
2,15,no,no,8885.57,38.21
2,16,no,yes,9034.68,39.29
2,17,no,yes,9179.53,44.63
2,18,no,yes,9284.26,37.08
2,19,no,yes,9343.68,41.48
2,20,no,yes,9406.97,40.67
2,21,no,yes,9419.78,35.84
2,22,no,yes,9443.71,34.81
2,23,no,yes,9493.68,34.67
2,24,no,yes,9562.48,36.19
2,25,no,yes,9653.78,39.09
2,26,no,yes,9687.17,36.54
2,27,no,yes,9665.54,35.47
2,28,no,yes,9678.52,35.16
2,29,no,yes,9731.63,34.44
2,30,no,yes,9933.29,39.1
2,31,no,yes,10026.66,41.1
2,32,no,yes,10110.71,42.24
2,33,no,yes,10063.82,43.8
2,34,no,yes,10016.26,47.96
2,35,no,yes,9819.02,39.33
2,36,no,yes,9695.89,38.3
2,37,no,no,9460.5,34.27
2,38,no,no,9315.24,35.05
2,39,no,no,9333.43,38.06
2,40,no,no,9118.94,37.62
2,41,no,no,8832.57,33.93
2,42,no,no,8415.79,30.54
2,43,no,no,8211.16,29.88
2,44,no,no,7911.38,27.71
2,45,no,no,7785.71,29.36
2,46,no,no,7520.98,27.95
2,47,no,no,7352.46,28.08
3,0,no,no,7167.61,28.07
3,1,no,no,7014.43,28.03
3,2,no,no,6872.63,27.18
3,3,no,no,6584.69,20.46
3,4,no,no,6368.55,19.21
3,5,no,no,6256.12,26.28
3,6,no,no,6144.38,27.73
3,7,no,no,6169.09,27.54
3,8,no,no,6251.95,27.96
3,9,no,no,6430.06,27.72
3,10,no,no,6729.2,29.33
3,11,no,no,7283.43,42.09
3,12,no,no,7797.09,28.38
3,13,no,no,8241.38,34.18
3,14,no,no,8543.76,34.96
3,15,no,no,8744.46,34.21
3,16,no,yes,8860.42,34.88
3,17,no,yes,8982.52,33.86
3,18,no,yes,9176.7,34.66
3,19,no,yes,9221.1,34.94
3,20,no,yes,9284.38,34.96
3,21,no,yes,9268.96,32.83
3,22,no,yes,9261.68,33.8
3,23,no,yes,9182.06,33.04
3,24,no,yes,9178.23,33.03
3,25,no,yes,9188.74,33.65
3,26,no,yes,9181.78,33.85
3,27,no,yes,9182.4,31.57
3,28,no,yes,9215.2,33.74
3,29,no,yes,9217.47,32.75
3,30,no,yes,9261.84,33.4
3,31,no,yes,9232.5,34.1
3,32,no,yes,9240.59,34.95
3,33,no,yes,9149.29,34.46
3,34,no,yes,9147.41,34.96
3,35,no,yes,8864.27,33.66
3,36,no,yes,8837.85,33.88
3,37,no,no,8639.13,28.02
3,38,no,no,8612.57,30.26
3,39,no,no,8604.51,30.76
3,40,no,no,8423.76,32.47
3,41,no,no,8189.09,28.05
3,42,no,no,7953.15,27.37
3,43,no,no,7848.8,27.08
3,44,no,no,7650.33,23.78
3,45,no,no,7484.91,25.67
3,46,no,no,7339.07,25.25
3,47,no,no,7150.12,24.46
4,0,no,no,6998.62,24.08
4,1,no,no,6845.43,29
4,2,no,no,6613.52,21.44
4,3,no,no,6252.38,18.96
4,4,no,no,5996.23,18.96
4,5,no,no,5881.86,18.99
4,6,no,no,5804.05,18.78
4,7,no,no,5810.77,18.96
4,8,no,no,5913.94,18.96
4,9,no,no,6154.93,25.72
4,10,no,no,6471.21,30.58
4,11,no,no,7006.9,42.55
4,12,no,no,7529.64,41.84
4,13,no,no,7985.93,40.71
4,14,no,no,8277.5,46.11
4,15,no,no,8361.94,36.44
4,16,no,yes,8521.3,35.27
4,17,no,yes,8680.6,35.38
4,18,no,yes,8742.9,35.05
4,19,no,yes,8840.49,36.32
4,20,no,yes,8860.25,40.32
4,21,no,yes,8826.25,38.46
4,22,no,yes,8866.85,36.78
4,23,no,yes,8820,37.23
4,24,no,yes,8787.57,37.42
4,25,no,yes,8766.07,38.85
4,26,no,yes,8759.83,38.94
4,27,no,yes,8762.93,40.96
4,28,no,yes,8757.32,40.84
4,29,no,yes,8785.71,40.79
4,30,no,yes,8819.6,39.19
4,31,no,yes,8821.42,39.84
4,32,no,yes,8916.7,41.86
4,33,no,yes,8883.53,41.08
4,34,no,yes,8895.38,43.37
4,35,no,yes,8676,31.96
4,36,no,yes,8606.34,34.72
4,37,no,no,8439.74,34.83
4,38,no,no,8410.15,34.95
4,39,no,no,8353.85,34.54
4,40,no,no,8173.78,33.4
4,41,no,no,7960.49,33.53
4,42,no,no,7758.03,32.67
4,43,no,no,7663.47,30.18
4,44,no,no,7442.84,27.99
4,45,no,no,7474.87,30.37
4,46,no,no,7367.61,33.19
4,47,no,no,7161.99,31.94
5,0,no,no,7039.75,30.94
5,1,no,no,6879,31.42
5,2,no,no,6674.98,31.75
5,3,no,no,6318.92,28.49
5,4,no,no,6140.93,27.95
5,5,no,no,5954.66,27.99
5,6,no,no,5943.75,28.02
5,7,no,no,5943.78,28.01
5,8,no,no,6012.63,29.83
5,9,no,no,6258.67,30.56
5,10,no,no,6533.8,32.93
5,11,no,no,7108.85,41.95
5,12,no,no,7561.52,39.12
5,13,no,no,7998.56,42.84
5,14,no,no,8331.61,56.04
5,15,no,no,8424.83,42.47
5,16,no,yes,8490.38,48.35
5,17,no,yes,8650.17,48.64
5,18,no,yes,8695.11,46.8
5,19,no,yes,8772.54,42.83
5,20,no,yes,8832.46,41.2
5,21,no,yes,8874.51,41.53
5,22,no,yes,8902.4,41.5
5,23,no,yes,8874.12,41.84
5,24,no,yes,8872.29,43.94
5,25,no,yes,8886.15,45.46
5,26,no,yes,8925.27,45.93
5,27,no,yes,9076.21,47.44
5,28,no,yes,9068.08,44.39
5,29,no,yes,9109.69,44.54
5,30,no,yes,9228.04,48.64
5,31,no,yes,9277.9,46.44
5,32,no,yes,9259.62,43.25
5,33,no,yes,9311.82,45.31
5,34,no,yes,9300.2,45.42
5,35,no,yes,9144.08,48.02
5,36,no,yes,8996.37,46.6
5,37,no,no,8866.85,44.01
5,38,no,no,8829.72,45.94
5,39,no,no,8815.29,49.01
5,40,no,no,8618.97,43.27
5,41,no,no,8404.91,40.88
5,42,no,no,8118.81,36.71
5,43,no,no,8013.31,34.43
5,44,no,no,7792.74,31.59
5,45,no,no,7776.1,33.27
5,46,no,no,7609.78,29.78
5,47,no,no,7385.7,34.96
6,0,no,no,7280.33,34.23
6,1,no,no,7068.64,29.87
6,2,no,no,6841.92,29.18
6,3,no,no,6533.8,27.99
6,4,no,no,6263.54,27.55
6,5,no,no,6112.35,27.97
6,6,no,no,6065.24,27.99
6,7,no,no,6124.17,28.04
6,8,no,no,6192.39,28.09
6,9,no,no,6444.02,31.94
6,10,no,no,6692.54,33.79
6,11,no,no,7246.22,40.33
6,12,no,no,7779.82,36.13
6,13,no,no,8207.53,39.56
6,14,no,no,8522.39,42.48
6,15,no,no,8670.34,39.04
6,16,no,yes,8784.7,42.94
6,17,no,yes,8950.8,35.23
6,18,no,yes,8998.04,34.97
6,19,no,yes,9096.93,36.15
6,20,no,yes,9209.43,37.32
6,21,no,yes,9203.48,37.11
6,22,no,yes,9226.97,38.47
6,23,no,yes,9287.08,40.85
6,24,no,yes,9299.41,40.6
6,25,no,yes,9317.8,40.66
6,26,no,yes,9344.32,41.61
6,27,no,yes,9393.79,43.37
6,28,no,yes,9406.93,44.75
6,29,no,yes,9398.89,47.83
6,30,no,yes,9458.97,48.38
6,31,no,yes,9561.42,48.88
6,32,no,yes,9622.95,49
6,33,no,yes,9601.01,45.45
6,34,no,yes,9529.52,45.55
6,35,no,yes,9251.13,36.7
6,36,no,yes,9064.21,34.92
6,37,no,no,8870.93,34.93
6,38,no,no,8861.14,40.17
6,39,no,no,8935.19,40.53
6,40,no,no,8741.38,35.46
6,41,no,no,8538.31,34.92
6,42,no,no,8310.16,34.5
6,43,no,no,8275.14,34.25
6,44,no,no,8039.96,31.04
6,45,no,no,8002.53,33.74
6,46,no,no,7840.53,32.86
6,47,no,no,7607,33.66
7,0,yes,no,7425.88,33.08
7,1,yes,no,7175.46,31.94
7,2,yes,no,6910.06,28.73
7,3,yes,no,6617.41,27.61
7,4,yes,no,6379.7,24.01
7,5,yes,no,6167.32,19.02
7,6,yes,no,6095.47,19.6
7,7,yes,no,6079.62,24.56
7,8,yes,no,6084.72,19.49
7,9,yes,no,6119.16,22.94
7,10,yes,no,6229.32,27.53
7,11,yes,no,6388.05,27.96
7,12,yes,no,6525.99,19.44
7,13,yes,no,6794.24,23.73
7,14,yes,no,7117.28,27.02
7,15,yes,no,7395.68,28.25
7,16,yes,yes,7709.41,30.94
7,17,yes,yes,7987.05,34.74
7,18,yes,yes,8010.9,30.81
7,19,yes,yes,8052.46,28.84
7,20,yes,yes,8060.05,28.93
7,21,yes,yes,8094.31,32.71
7,22,yes,yes,8032.36,28.52
7,23,yes,yes,8029.14,28.02
7,24,yes,yes,8102.93,28
7,25,yes,yes,8158.69,27.99
7,26,yes,yes,8219.75,28.11
7,27,yes,yes,8274.49,30.85
7,28,yes,yes,8417.02,31.75
7,29,yes,yes,8455.31,32.77
7,30,yes,yes,8671.32,36.81
7,31,yes,yes,8742.37,34.96
7,32,yes,yes,8911.62,35.21
7,33,yes,yes,8950.69,35.91
7,34,yes,yes,9021.82,44.43
7,35,yes,yes,9015.14,35.46
7,36,yes,yes,8911.36,36.73
7,37,yes,no,8722.19,31.91
7,38,yes,no,8741.52,35.32
7,39,yes,no,8735.11,34.76
7,40,yes,no,8571.62,33.85
7,41,yes,no,8319.41,31.98
7,42,yes,no,8099.29,30.02
7,43,yes,no,8000.68,28.13
7,44,yes,no,7801.86,27.98
7,45,yes,no,7680.29,28.36
7,46,yes,no,7449.35,27.98
7,47,yes,no,7232.54,28.03
