DayOfWeek,IntervalPeriod,Weekend,BusinessHours,TotalDemand,RRP
4,47,no,no,7014.38,28.95
5,0,no,no,6901.82,29.17
5,1,no,no,6757.11,28.11
5,2,no,no,6535.92,27.6
5,3,no,no,6266.95,25.33
5,4,no,no,6024.49,22.78
5,5,no,no,5889.54,21.45
5,6,no,no,5802.28,18.71
5,7,no,no,5817.62,20.41
5,8,no,no,5872.49,22.48
5,9,no,no,6161.63,27.25
5,10,no,no,6411.39,28.95
5,11,no,no,6956.3,37.14
5,12,no,no,7390.93,35.75
5,13,no,no,7792.15,41.97
5,14,no,no,8092.98,42.96
5,15,no,no,8203.52,39.67
5,16,no,yes,8242.03,35.04
5,17,no,yes,8337.48,34.97
5,18,no,yes,8378.41,35.71
5,19,no,yes,8433.06,34.97
5,20,no,yes,8434.28,36.46
5,21,no,yes,8431.86,35.09
5,22,no,yes,8474.72,35.45
5,23,no,yes,8401.97,35
5,24,no,yes,8407.99,40.84
5,25,no,yes,8390.26,42.19
5,26,no,yes,8394.11,37.86
5,27,no,yes,8451.01,35.5
5,28,no,yes,8442.48,37.51
5,29,no,yes,8414.03,35.32
5,30,no,yes,8451.5,36.49
5,31,no,yes,8476.69,35.33
5,32,no,yes,8510.2,35.13
5,33,no,yes,8532.57,41.62
5,34,no,yes,8532.66,41.04
5,35,no,yes,8452.22,41.78
5,36,no,yes,8349.26,35.11
5,37,no,no,8264.56,36.27
5,38,no,no,8222.6,36.98
5,39,no,no,8300.37,43.98
5,40,no,no,8256.83,42.77
5,41,no,no,8029.61,38.84
5,42,no,no,7767,34.43
5,43,no,no,7747.24,32.85
5,44,no,no,7542.32,30.94
5,45,no,no,7504.56,34.22
5,46,no,no,7396.64,32.82
5,47,no,no,7238.4,34.21
6,0,no,no,7073.6,33.04
6,1,no,no,6911.75,28.67
6,2,no,no,6675.96,28.08
6,3,no,no,6392.27,27
6,4,no,no,6148.36,24.65
6,5,no,no,5990.4,22.45
6,6,no,no,5952.23,23.99
6,7,no,no,5982.97,24.58
6,8,no,no,6004.42,24.56
6,9,no,no,6243.04,27.82
6,10,no,no,6547.89,30.79
6,11,no,no,7023.6,34.57
6,12,no,no,7446.87,34.9
6,13,no,no,7853.11,41.68
6,14,no,no,8139.55,45.13
6,15,no,no,8306.82,39.16
6,16,no,yes,8348.24,37.27
6,17,no,yes,8439.48,38.8
6,18,no,yes,8507.87,44.7
6,19,no,yes,8567.88,39.2
6,20,no,yes,8607.11,35.22
6,21,no,yes,8598.26,35.14
6,22,no,yes,8617.04,37.71
6,23,no,yes,8554.15,36.42
6,24,no,yes,8509.84,37.61
6,25,no,yes,8505.89,37.69
6,26,no,yes,8508.28,38.89
6,27,no,yes,8486,40.41
6,28,no,yes,8440.11,41.04
6,29,no,yes,8448.6,36.77
6,30,no,yes,8501.71,43.95
6,31,no,yes,8613.08,42.6
6,32,no,yes,8690.84,42.8
6,33,no,yes,8704.23,42.95
6,34,no,yes,8620.31,37.51
6,35,no,yes,8464.23,38.48
6,36,no,yes,8394.44,37.53
6,37,no,no,8248.03,36.63
6,38,no,no,8160.7,39.01
6,39,no,no,8251.51,40.76
6,40,no,no,8222.42,37.73
6,41,no,no,8083.13,35.52
6,42,no,no,7867.97,34.97
6,43,no,no,7852.13,34.77
6,44,no,no,7725.7,33.55
6,45,no,no,7659.69,36.33
6,46,no,no,7550.1,33.96
6,47,no,no,7323.89,33.24
7,0,yes,no,7167.35,31.21
7,1,yes,no,7001.17,30.31
7,2,yes,no,6719.1,28.8
7,3,yes,no,6437.55,27.96
7,4,yes,no,6175.3,25.36
7,5,yes,no,6000.15,22.63
7,6,yes,no,5927.57,22.41
7,7,yes,no,5884.57,20.31
7,8,yes,no,5887.98,19.26
7,9,yes,no,5961.15,22.86
7,10,yes,no,6020.86,24.41
7,11,yes,no,6246.44,27.96
7,12,yes,no,6333.72,20.02
7,13,yes,no,6632.45,23.87
7,14,yes,no,6881.84,24.98
7,15,yes,no,7222.31,25.22
7,16,yes,yes,7455.32,25.1
7,17,yes,yes,7705.78,28.1
7,18,yes,yes,7759.55,28.58
7,19,yes,yes,7830.72,28.23
7,20,yes,yes,7820.7,28.27
7,21,yes,yes,7807,28.13
7,22,yes,yes,7777.81,29.11
7,23,yes,yes,7666.56,28.28
7,24,yes,yes,7586.82,29.64
7,25,yes,yes,7613.23,31.98
7,26,yes,yes,7609.92,31.62
7,27,yes,yes,7603.38,31.2
7,28,yes,yes,7639.77,31.88
7,29,yes,yes,7756.1,32.1
7,30,yes,yes,7877.29,31.88
7,31,yes,yes,8005.46,32.2
7,32,yes,yes,8151.96,31.38
7,33,yes,yes,8174.9,33.16
7,34,yes,yes,8293.03,33.8
7,35,yes,yes,8300.24,36.21
7,36,yes,yes,8278.85,34.62
7,37,yes,no,8183.83,32.6
7,38,yes,no,8051.59,33.43
7,39,yes,no,8069.83,34.76
7,40,yes,no,8042.3,33.65
7,41,yes,no,7863.44,32.13
